Participant_ID,Finger_1-1_correct,Finger_1-2_correct,Finger_5-1_correct,Finger_5-2_correct,Finger_1-1_keys,Finger_1-2_keys,Finger_5-1_keys,Finger_5-2_keys,Finger_1-1_ratio,Finger_1-2_ratio,Finger_5-1_ratio,Finger_5-2_ratio
AA10MA,18.0,19.0,23.0,19.0,92.0,104.0,116.0,119.0,0.9782608695652174,0.9134615384615384,0.9913793103448276,0.7983193277310925
BE01CL,9.0,10.0,12.0,15.0,54.0,61.0,68.0,85.0,0.8333333333333334,0.819672131147541,0.8823529411764706,0.8823529411764706
BE13NA,15.0,19.0,25.0,28.0,98.0,113.0,129.0,142.0,0.7653061224489796,0.8407079646017699,0.9689922480620154,0.9859154929577465
BE17MA,9.0,7.0,14.0,18.0,59.0,62.0,84.0,91.0,0.7627118644067796,0.5645161290322581,0.8333333333333334,0.989010989010989
BI21FL,18.0,18.0,24.0,25.0,93.0,97.0,122.0,125.0,0.967741935483871,0.9278350515463918,0.9836065573770492,1.0
BU01FR,13.0,19.0,20.0,18.0,85.0,97.0,129.0,109.0,0.7647058823529411,0.979381443298969,0.7751937984496124,0.8256880733944955
DA27SV,28.0,27.0,31.0,34.0,151.0,147.0,171.0,183.0,0.9271523178807947,0.9183673469387755,0.9064327485380117,0.9289617486338798
DI03CA,21.0,26.0,18.0,23.0,109.0,132.0,103.0,115.0,0.963302752293578,0.9848484848484849,0.8737864077669902,1.0
FO09MA,14.0,16.0,19.0,16.0,73.0,87.0,106.0,106.0,0.958904109589041,0.9195402298850575,0.8962264150943396,0.7547169811320755
GE03KA,20.0,21.0,25.0,26.0,110.0,105.0,127.0,131.0,0.9090909090909091,1.0,0.984251968503937,0.9923664122137404
GI16CA,11.0,14.0,15.0,17.0,61.0,70.0,90.0,100.0,0.9016393442622951,1.0,0.8333333333333334,0.85
JE13CL,0.0,0.0,26.0,25.0,80.0,132.0,134.0,133.0,0.0,0.0,0.9701492537313433,0.9398496240601504
LA20RE,16.0,18.0,,,98.0,108.0,,,0.8163265306122449,0.8333333333333334,,
LU03GA,15.0,16.0,18.0,21.0,88.0,95.0,101.0,110.0,0.8522727272727273,0.8421052631578947,0.8910891089108911,0.9545454545454546
SU13BA,16.0,12.0,18.0,23.0,80.0,68.0,105.0,127.0,1.0,0.8823529411764706,0.8571428571428571,0.905511811023622
SU22PA,15.0,20.0,25.0,22.0,104.0,127.0,129.0,129.0,0.7211538461538461,0.7874015748031497,0.9689922480620154,0.8527131782945736
VA10SI,22.0,25.0,29.0,29.0,123.0,137.0,154.0,157.0,0.8943089430894309,0.9124087591240876,0.9415584415584416,0.9235668789808917
WA24AN,4.0,13.0,15.0,16.0,69.0,99.0,89.0,97.0,0.2898550724637681,0.6565656565656566,0.8426966292134831,0.8247422680412371
ZU17AL,11.0,19.0,21.0,17.0,79.0,99.0,120.0,119.0,0.6962025316455697,0.9595959595959596,0.875,0.7142857142857143
